execucao,tempo_s,throughput_mbps,bytes
1,8.611657749000187,0.974099092706502,1048576
2,8.604812540000239,0.9748739976617511,1048576
3,8.599914877000629,0.9754291897044538,1048576
4,8.59867783700065,0.9755695188280333,1048576
5,8.596402130999195,0.9758277791298438,1048576
6,8.602121629000067,0.9751789572144326,1048576
7,8.602797516999999,0.9751023412353088,1048576
8,8.595030440999835,0.975983512517284,1048576
9,8.593049793999853,0.9762084709269804,1048576
10,8.59468637200007,0.9760225838290697,1048576
11,8.600807392000206,0.9753279683721813,1048576
12,8.6034049459995,0.9750334957673499,1048576
13,8.599357023000266,0.9754924673511535,1048576
14,8.597278268000082,0.9757283338406327,1048576
15,8.597133178999684,0.9757448006611028,1048576
16,8.599493059000451,0.9754770359655406,1048576
17,8.595699594000507,0.9759075347229387,1048576
18,8.605766280999887,0.9747659564634776,1048576
19,8.603531768999346,0.9750191229869378,1048576
20,8.583032593000098,0.9773477974255088,1048576
21,8.595950302000347,0.9758790715725639,1048576
22,8.59863443499944,0.9755744430598702,1048576
23,8.599642881000364,0.9754600413155976,1048576
24,8.599286355000004,0.9755004838421846,1048576
25,8.593450554999436,0.9761629448277603,1048576
26,8.59519005400034,0.9759653884669841,1048576
27,8.595194791000722,0.9759648505910511,1048576
28,8.598870490000081,0.975547661725502,1048576
29,8.597118658999534,0.9757464486335473,1048576
30,8.59819609799979,0.9756241779541938,1048576
