execucao,tempo_s,throughput_mbps,bytes
1,0.7028779300007955,11.93465841215203,1048576
2,0.7024768209994363,11.941473012682836,1048576
3,0.7034729990000415,11.924562864422754,1048576
4,0.7035871309999493,11.922628528008998,1048576
5,0.7039991209994696,11.91565124128375,1048576
6,0.703292152999893,11.927629171203444,1048576
7,0.7021122539999851,11.94767354110327,1048576
8,1.006425255999602,8.335053149742613,1048576
9,0.7026266989996657,11.938925765193547,1048576
10,0.7024732859999858,11.94153310479079,1048576
11,0.7021464850004122,11.947091068888675,1048576
12,0.7028543050000735,11.935059571128503,1048576
13,0.7026646200001778,11.938281452107091,1048576
14,0.7021699070000977,11.946692554568324,1048576
15,0.7022955030006415,11.944556051062081,1048576
16,0.7029864989999624,11.932815227509012,1048576
17,0.7023573470005431,11.943504308489157,1048576
18,0.7021842900003321,11.94644784775238,1048576
19,0.7026653439997972,11.938269151356382,1048576
20,0.7025447010000789,11.940319225322941,1048576
21,1.0379846609994274,8.081630023244271,1048576
22,0.702721348000523,11.937317720414205,1048576
23,0.7033293750000666,11.926997930378219,1048576
24,0.7030127590005577,11.932369494866231,1048576
25,0.7029611400002977,11.933245698327575,1048576
26,0.7028399299997545,11.93530367576431,1048576
27,0.7036969250002585,11.920768305186098,1048576
28,1.0106630410000434,8.30010365442822,1048576
29,0.7031271890000426,11.93042756877304,1048576
30,0.7023810110003978,11.943101918504526,1048576
