execucao,tempo_s,throughput_mbps,bytes
1,0.15468567700008862,54.23002415404753,1048576
2,0.14583392799977446,57.521648871811045,1048576
3,0.14307411200024944,58.631207859499945,1048576
4,0.14532739199967182,57.72213954007338,1048576
5,0.14286116000039328,58.71860483267045,1048576
6,0.1438555360000464,58.312722841596404,1048576
7,0.1434877410001718,58.462192947827894,1048576
8,0.14479607600060262,57.93394566828653,1048576
9,0.1465029040000445,57.25898784912449,1048576
10,0.1435838520001198,58.42305999697655,1048576
11,0.1440004329997464,58.25404705564165,1048576
12,0.14481728299961105,57.925461838850616,1048576
13,0.14524228400023276,57.75596313251695,1048576
14,0.1440324100003636,58.24111392691981,1048576
15,0.14526733299953776,57.7460040518999,1048576
16,0.14512433000072633,57.802905963169756,1048576
17,0.14435672199942928,58.110269364755766,1048576
18,0.14422619800006942,58.16285887253273,1048576
19,0.14465524700062815,57.99034721473721,1048576
20,0.14531244600038917,57.728076506106945,1048576
21,0.14584762199956458,57.51624801962862,1048576
22,0.14392976500039367,58.28264917945955,1048576
23,0.14430045200060704,58.132929479421946,1048576
24,0.14335856000070635,58.51487347500329,1048576
25,0.14567524599988246,57.584306396206586,1048576
26,0.1448128040001393,57.92725344916276,1048576
27,0.1435814679998657,58.42403004270611,1048576
28,0.14458180400015408,58.01980448377211,1048576
29,0.1436860549993071,58.38150403698155,1048576
30,0.14418049400046584,58.181296007855934,1048576
