execucao,tempo_s,throughput_mbps,bytes
1,0.35214081300000544,23.82174315023198,1048576
2,0.3523605239997778,23.806889332487454,1048576
3,0.3525512249998428,23.79401177801535,1048576
4,0.35224348199972155,23.81479978671864,1048576
5,0.35241496699927666,23.803211513480406,1048576
6,0.3521787500003484,23.81917705140274,1048576
7,0.3520417589998033,23.8284458748108,1048576
8,0.35203970299971843,23.828585038905995,1048576
9,0.35217947000001004,23.819128355209806,1048576
10,0.35233917200002907,23.808332046597727,1048576
11,0.35239361000003555,23.804654119577123,1048576
12,0.35209083700010524,23.825124423779005,1048576
13,0.35229802599951654,23.811112696985454,1048576
14,0.35218405999967217,23.818817921537416,1048576
15,0.3525339890002215,23.795175108618334,1048576
16,0.35246476999964216,23.79984813803807,1048576
17,0.3521882020004341,23.81853779414695,1048576
18,0.3520579819996783,23.82734784864973,1048576
19,0.6076607710001554,13.804754890122494,1048576
20,0.3520767910003997,23.82607492008889,1048576
21,0.601863308999782,13.937729505293765,1048576
22,0.35201795200009656,23.83005739433908,1048576
23,0.35237083599986363,23.80619263281836,1048576
24,0.3524884190001103,23.79825136892618,1048576
25,0.352515843999754,23.79639991445563,1048576
26,0.3526231240002744,23.789160236676572,1048576
27,0.3521719580003264,23.81963642883862,1048576
28,0.35209307500008435,23.824972984765434,1048576
29,0.35248325700013083,23.798599886396552,1048576
30,0.3521990970002662,23.81780098656431,1048576
