execucao,tempo_s,throughput_mbps,bytes
1,80.13794152199989,0.10467710850417981,1048576
2,81.13997356399977,0.10338440637256828,1048576
3,95.11408881900024,0.08819522012099924,1048576
4,87.10962743999971,0.09629943608446717,1048576
5,72.07590933700067,0.11638573938454148,1048576
6,79.07454754400078,0.10608480554798226,1048576
7,85.09540254300009,0.09857886265666468,1048576
8,79.07562695999968,0.10608335744518811,1048576
9,88.10103127500042,0.09521577532748307,1048576
10,72.05506874799994,0.11641940179583614,1048576
11,86.08996476899938,0.0974400212906197,1048576
12,78.08593414799998,0.10742790095973845,1048576
13,93.11349803800022,0.09009013920384085,1048576
14,75.06763457000034,0.11174733356194472,1048576
15,91.108822745,0.09207240031493395,1048576
16,86.09220101599931,0.09743749028371418,1048576
17,70.07588856500024,0.11970747958791826,1048576
18,77.08324363899919,0.10882531149423376,1048576
19,87.11244884499956,0.09629631713058567,1048576
20,85.1142750400004,0.09855700463944128,1048576
21,87.09963432399945,0.09631048471220276,1048576
22,86.09763242200006,0.0974313435110964,1048576
23,74.07156801699966,0.11325003944934428,1048576
24,79.08521699300036,0.10607049356319595,1048576
25,74.07174029700036,0.11324977604636768,1048576
26,85.09859946899996,0.09857515931335431,1048576
27,86.1054179290004,0.09742253393296299,1048576
28,79.08372055099971,0.10607250065568592,1048576
29,74.06674568499966,0.11325741292423085,1048576
30,81.08458666999923,0.10345502572690218,1048576
